id,name,l10n_ng_cbn_code,country
bank_ng_1,First Bank PLC Group,011,Nigeria
bank_ng_2,Mainstreet Bank Plc,014,Nigeria
bank_ng_3,Citibank Nigeria Limited,023,Nigeria
bank_ng_4,Heritage Banking Company Limited,030,Nigeria
bank_ng_5,Union Bank Nigeria Plc,032,Nigeria
bank_ng_6,United Bank for Africa Plc,033,Nigeria
bank_ng_7,Wema Bank Group,035,Nigeria
bank_ng_8,Stanbic IBTC Plc,039,Nigeria
bank_ng_9,Access Bank Nigeria Plc,044,Nigeria
bank_ng_10,Ecobank,050,Nigeria
bank_ng_11,Zenith Bank,057,Nigeria
bank_ng_12,Guaranty Trust Bank Plc,058,Nigeria
bank_ng_13,Diamond Bank Plc,063,Nigeria
bank_ng_14,Standard Chartered Bank Nigeria,068,Nigeria
bank_ng_15,Fidelity Bank Plc,070,Nigeria
bank_ng_16,Polaris Bank Ltd,076,Nigeria
bank_ng_17,Keystone Bank Plc,082,Nigeria
bank_ng_18,Enterprise Bank Plc,084,Nigeria
bank_ng_19,Suntrust Bank,100,Nigeria
bank_ng_20,Providus Bank,101,Nigeria
bank_ng_21,Titan Trust Bank,102,Nigeria
bank_ng_22,Globus Bank,103,Nigeria
bank_ng_23,First City Monument Bank,214,Nigeria
bank_ng_24,Unity Bank Group,215,Nigeria
bank_ng_25,Stanbic IBTC Bank,221,Nigeria
bank_ng_26,Sterling Bank Plc,232,Nigeria
bank_ng_27,Jaiz Bank Plc,301,Nigeria
bank_ng_28,Taj Bank Limited,302,Nigeria
bank_ng_29,FSDH Merchant Bank Ltd,501,Nigeria
bank_ng_30,FBNQuest Merchant Bank,560,Nigeria
bank_ng_31,Nova Merchant Bank Limited,561,Nigeria
